key,Code,Faction,Class,KB,D,HK,DD,HD,Honor,Rol,Win
550,BG12,Alliance,Druid,3,4,28,34703,6249,557,dps,1.0
551,BG12,Horde,Warrior,1,5,9,31721,1171,148,dps,0.0
552,BG12,Horde,Rogue,1,4,8,29680,10595,146,dps,0.0
553,BG12,Horde,Shaman,0,7,8,14569,64481,146,heal,0.0
554,BG12,Horde,Rogue,1,4,9,27807,1661,148,dps,0.0
555,BG12,Horde,Priest,1,5,9,24202,63842,148,heal,0.0
556,BG12,Horde,Priest,0,3,8,13578,6885,146,dps,0.0
557,BG12,Alliance,Priest,6,2,25,85170,22911,775,dps,1.0
558,BG12,Horde,Druid,1,0,7,23191,10470,144,dps,0.0
559,BG12,Alliance,Warrior,1,0,16,10206,1572,758,dps,1.0
560,BG12,Alliance,Warrior,12,0,36,41656,3957,811,dps,1.0
561,BG12,Horde,Rogue,1,4,8,30254,9574,146,dps,0.0
562,BG12,Horde,Hunter,0,1,7,21819,1979,144,dps,0.0
563,BG12,Alliance,Paladin,0,0,21,7749,52641,762,heal,1.0
564,BG12,Alliance,Mage,4,0,20,39708,409,760,dps,1.0
